date,article,sales,revenue,avg_price,weekday,month,is_public_holiday,lag_1,lag_7
2021-09-24,BAGUETTE,43.0,38.7,0.9,4,9,False,27.0,29.0
2021-09-25,BAGUETTE,42.0,37.8,0.8999999999999999,5,9,False,43.0,48.0
2021-09-26,BAGUETTE,45.0,40.5,0.9,6,9,False,42.0,39.0
2021-09-27,BAGUETTE,24.0,21.6,0.9,0,9,False,45.0,29.0
2021-09-28,BAGUETTE,27.0,24.3,0.9,1,9,False,24.0,24.0
2021-09-29,BAGUETTE,17.0,15.3,0.9,2,9,False,27.0,3.0
2021-09-30,BAGUETTE,22.0,19.8,0.9,3,9,False,17.0,27.0
2021-10-01,BAGUETTE,27.0,24.3,0.9,4,10,False,22.0,43.0
2021-10-02,BAGUETTE,32.0,28.8,0.9,5,10,False,27.0,42.0
2021-10-03,BAGUETTE,41.0,36.9,0.8999999999999999,6,10,False,32.0,45.0
2021-10-04,BAGUETTE,29.0,26.1,0.9,0,10,False,41.0,24.0
2021-10-05,BAGUETTE,24.0,21.6,0.9,1,10,False,29.0,27.0
2021-10-06,BAGUETTE,22.0,19.8,0.9,2,10,False,24.0,17.0
2021-10-07,BAGUETTE,33.0,29.700000000000003,0.9000000000000001,3,10,False,22.0,22.0
2021-10-08,BAGUETTE,24.0,21.6,0.9,4,10,False,33.0,27.0
2021-10-09,BAGUETTE,44.0,39.6,0.9,5,10,False,24.0,32.0
2021-10-10,BAGUETTE,48.0,43.2,0.9,6,10,False,44.0,41.0
2021-10-11,BAGUETTE,28.0,25.2,0.9,0,10,False,48.0,29.0
2021-10-12,BAGUETTE,15.0,13.5,0.9,1,10,False,28.0,24.0
2021-10-13,BAGUETTE,11.0,9.9,0.9,2,10,False,15.0,22.0
2021-10-14,BAGUETTE,21.0,18.9,0.8999999999999999,3,10,False,11.0,33.0
2021-10-15,BAGUETTE,18.0,16.2,0.8999999999999999,4,10,False,21.0,24.0
2021-10-16,BAGUETTE,27.0,24.3,0.9,5,10,False,18.0,44.0
2021-10-17,BAGUETTE,49.0,44.1,0.9,6,10,False,27.0,48.0
2021-10-18,BAGUETTE,28.0,25.2,0.9,0,10,False,49.0,28.0
2021-10-19,BAGUETTE,19.0,17.1,0.9,1,10,False,28.0,15.0
2021-10-20,BAGUETTE,14.0,12.6,0.9,2,10,False,19.0,11.0
2021-10-21,BAGUETTE,33.0,29.7,0.9,3,10,False,14.0,21.0
2021-10-22,BAGUETTE,31.0,27.900000000000002,0.9,4,10,False,33.0,18.0
2021-10-23,BAGUETTE,48.0,43.2,0.9,5,10,False,31.0,27.0
2021-10-24,BAGUETTE,54.0,48.6,0.9,6,10,False,48.0,49.0
2021-10-25,BAGUETTE,40.0,36.0,0.9,0,10,False,54.0,28.0
2021-10-26,BAGUETTE,38.0,34.2,0.9,1,10,False,40.0,19.0
2021-10-27,BAGUETTE,23.0,20.7,0.9,2,10,False,38.0,14.0
2021-10-28,BAGUETTE,24.0,21.6,0.9,3,10,False,23.0,33.0
2021-10-29,BAGUETTE,38.0,34.2,0.9,4,10,False,24.0,31.0
2021-10-30,BAGUETTE,46.0,41.4,0.9,5,10,False,38.0,48.0
2021-10-31,BAGUETTE,55.0,49.5,0.9,6,10,False,46.0,54.0
2021-11-01,BAGUETTE,31.0,27.900000000000002,0.9,0,11,True,55.0,40.0
2021-11-02,BAGUETTE,27.0,24.3,0.9,1,11,False,31.0,38.0
2021-11-03,BAGUETTE,47.0,42.300000000000004,0.9000000000000001,2,11,False,27.0,23.0
2021-11-04,BAGUETTE,25.0,22.5,0.9,3,11,False,47.0,24.0
2021-11-05,BAGUETTE,33.0,29.7,0.9,4,11,False,25.0,38.0
2021-11-06,BAGUETTE,27.0,24.3,0.9,5,11,False,33.0,46.0
2021-11-07,BAGUETTE,31.0,27.900000000000002,0.9,6,11,False,27.0,55.0
2021-11-08,BAGUETTE,62.0,55.800000000000004,0.9,0,11,False,31.0,31.0
2021-11-09,BAGUETTE,43.0,38.7,0.9,1,11,False,62.0,27.0
2021-11-10,BAGUETTE,17.0,15.3,0.9,2,11,False,43.0,47.0
2021-11-11,BAGUETTE,30.0,27.0,0.9,3,11,True,17.0,25.0
2021-11-12,BAGUETTE,16.0,14.4,0.9,4,11,False,30.0,33.0
2021-11-13,BAGUETTE,25.0,22.5,0.9,5,11,False,16.0,27.0
2021-11-14,BAGUETTE,38.0,34.2,0.9,6,11,False,25.0,31.0
2021-11-15,BAGUETTE,27.0,24.3,0.9,0,11,False,38.0,62.0
2021-11-16,BAGUETTE,16.0,14.4,0.9,1,11,False,27.0,43.0
2021-11-17,BAGUETTE,0.0,0.0,,2,11,False,16.0,17.0
2021-11-18,BAGUETTE,20.0,18.0,0.9,3,11,False,0.0,30.0
2021-11-19,BAGUETTE,26.0,23.400000000000002,0.9000000000000001,4,11,False,20.0,16.0
2021-11-20,BAGUETTE,38.0,34.2,0.9,5,11,False,26.0,25.0
2021-11-21,BAGUETTE,36.0,32.4,0.8999999999999999,6,11,False,38.0,38.0
2021-11-22,BAGUETTE,14.0,12.6,0.9,0,11,False,36.0,27.0
2021-11-23,BAGUETTE,23.0,20.7,0.9,1,11,False,14.0,16.0
2021-11-24,BAGUETTE,0.0,0.0,,2,11,False,23.0,0.0
